date,open,high,low,close,volume,market_cap,increase_flag,percent_change
20170403,0.205808,0.205959,0.196132,0.199703,104805,10290400,0,-2.966356993
20170402,0.203584,0.206776,0.200261,0.20548,102369,10179200,1,0.931310909
20170401,0.203606,0.206153,0.19444,0.205017,109993,10180300,1,0.693005118
20170331,0.210236,0.213953,0.196505,0.203541,291529,10511800,0,-3.184516448
20170330,0.212468,0.22193,0.206085,0.210556,504940,10623400,0,-0.89990022
20170329,0.22065,0.225506,0.205719,0.212428,335567,11032500,0,-3.726263313
20170328,0.186277,0.235749,0.180596,0.220632,821674,9313850,1,18.44296397
20170327,0.161165,0.191642,0.160717,0.186426,201563,8058250,1,15.6739987
20170326,0.167267,0.175043,0.158772,0.160384,37656,8363350,0,-4.11497785
20170325,0.166941,0.167388,0.157475,0.167305,47641,8347050,1,0.218041104
20170324,0.166412,0.178022,0.159289,0.166465,52184,8320600,1,0.031848665
20170323,0.173183,0.176421,0.156976,0.166412,38169,8659150,0,-3.909737099
20170322,0.164951,0.179551,0.159475,0.173143,157814,8247550,1,4.966323332
20170321,0.153972,0.167727,0.150715,0.164934,234287,7698600,1,7.119476268
20170320,0.157444,0.162542,0.149597,0.153898,68539,7872200,0,-2.252229364
20170319,0.159019,0.163016,0.149322,0.15756,68673,7950950,0,-0.917500424
20170318,0.140006,0.172281,0.140006,0.158987,188985,7000300,1,13.55727612
20170317,0.131324,0.166127,0.122856,0.139902,63413,6566200,1,6.53193628
20170316,0.128773,0.136685,0.125514,0.131867,20678,6438650,1,2.40267758
20170315,0.133699,0.140774,0.128158,0.128653,16169,6684950,0,-3.774149395
20170314,0.136986,0.137204,0.127028,0.133681,23746,6849300,0,-2.412655308
20170313,0.140799,0.140823,0.127288,0.136979,23196,7039950,0,-2.713087451
20170312,0.142217,0.14357,0.131473,0.140575,36588,7110850,0,-1.154573645
20170311,0.131403,0.142793,0.129965,0.142142,32281,6570150,1,8.172568358
20170310,0.132107,0.141972,0.120088,0.131476,34319,6605350,0,-0.477643123
20170309,0.116266,0.140766,0.114151,0.132026,21035,5813300,1,13.5551236
20170308,0.122602,0.128715,0.116242,0.116242,5536,6130100,0,-5.187517333
20170307,0.123459,0.123531,0.116952,0.122573,8291,6172950,0,-0.717647154
20170306,0.121782,0.124417,0.118414,0.12345,10659,6089100,1,1.369660541
20170305,0.119821,0.12368,0.116513,0.121757,4192,5991050,1,1.615743484
20170304,0.122602,0.125583,0.117666,0.119901,6235,6130100,0,-2.203063572
20170303,0.119272,0.124929,0.118119,0.122444,9499,5963600,1,2.659467436
20170302,0.135408,0.135475,0.115596,0.119301,8963,6770400,0,-11.89516129
20170301,0.117455,0.135197,0.113717,0.135197,12914,5872750,1,15.1053595
20170228,0.115442,0.118271,0.113307,0.117443,19659,5772100,1,1.733337953
20170227,0.115234,0.118632,0.10963,0.115376,8960,5761700,1,0.12322752
20170226,0.114553,0.115582,0.104331,0.114986,8433,5727650,1,0.377990974
20170225,0.120864,0.12166,0.110955,0.114526,9339,6043200,0,-5.243910511
20170224,0.119243,0.136124,0.086475,0.121185,17386,5962150,1,1.62860713
