Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,increase_flag,tomorrow_percent_change
6-Apr-17,0.184767,0.190455,0.184234,0.18643,"82,505","9,238,350",0.900052499,"110,881","134,477","260,352","184,952",0.185383667,0.195698857,0.2013508,0.1834511,1,-0.196129283
5-Apr-17,0.185082,0.192548,0.182758,0.184719,"102,043","9,254,100",-0.196129283,"118,315","194,825","272,258","183,997",0.189808,0.199145429,0.2013504,0.1811247,0,-7.440687633
4-Apr-17,0.199874,0.202591,0.181038,0.185002,"148,096","9,993,700",-7.440687633,"118,423","228,186","265,819","179,929",0.196728333,0.203103857,0.1989169,0.1784821,0,-2.966356993
3-Apr-17,0.205808,0.205959,0.196132,0.199703,"104,805","10,290,400",-2.966356993,"105,722","324,411","255,774","173,332",0.2034,0.208193857,0.1971472,0.17566465,0,0.931310909
2-Apr-17,0.203584,0.206776,0.200261,0.20548,"102,369","10,179,200",0.931310909,"167,964","338,234","250,512","169,279",0.204679333,0.206297143,0.1938234,0.17236355,1,0.693005118
1-Apr-17,0.203606,0.206153,0.19444,0.205017,"109,993","10,180,300",0.693005118,"302,154","328,989","244,092","165,321",0.206371333,0.199854857,0.1899166,0.1689385,1,-3.184516448
31-Mar-17,0.210236,0.213953,0.196505,0.203541,"291,529","10,511,800",-3.184516448,"377,345","320,081","248,874","161,651",0.208841667,0.194467429,0.1867292,0.1657164,0,-0.89990022
30-Mar-17,0.212468,0.22193,0.206085,0.210556,"504,940","10,623,400",-0.89990022,"554,060","285,889","243,150","148,688",0.214538667,0.189170857,0.1828685,0.16264645,0,-3.726263313
29-Mar-17,0.22065,0.225506,0.205719,0.212428,"335,567","11,032,500",-3.726263313,"452,935","219,208","199,509","125,157",0.206495333,0.182864571,0.1772027,0.15869245,0,18.44296397
28-Mar-17,0.186277,0.235749,0.180596,0.220632,"821,674","9,313,850",18.44296397,"353,631","193,814","172,820","109,431",0.189147333,0.177252429,0.1717159,0.15467235,1,15.6739987
27-Mar-17,0.161165,0.191642,0.160717,0.186426,"201,563","8,058,250",15.6739987,"95,620","109,902","109,551","68,624",0.171371667,0.169295571,0.1655514,0.14945285,1,-4.11497785
26-Mar-17,0.167267,0.175043,0.158772,0.160384,"37,656","8,363,350",-4.11497785,"45,827","90,899","95,736","58,960",0.164718,0.164648714,0.160899,0.1462602,0,0.218041104
25-Mar-17,0.166941,0.167388,0.157475,0.167305,"47,641","8,347,050",0.218041104,"45,998","95,330","94,038","57,610",0.166727333,0.164245286,0.1580473,0.1444135,1,0.031848665
