Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change
20170607,1.34,1.36,1.27,1.28,2994510,66929500,-4.47761194,4035200,4849624.29,4451311,5552598,1.3,1.29,1.2,1.06,2863.2,2537.144286,2434.689,6.565034372,2433.139893,2435.120047,2428.637036,0.156825745,1,6.25
20170606,1.28,1.37,1.2,1.34,5234170,63757000,4.6875,3894436.67,4850554.29,4665243,5462950,1.29,1.25,1.17,1.02,2686.81,2438.897143,2352.256,6.967087479,2429.330078,2432.071498,2426.905054,-0.277904016,0,-4.47761194
20170605,1.27,1.35,1.25,1.28,3876920,63267500,1.587301587,3499626.67,4873347.14,4844418,5267675,1.27,1.21,1.13,0.98,2511.81,2377.297143,2303.817,-0.140735882,2436.100098,2429.72576,2425.554053,-0.12176649,1,4.6875
20170604,1.25,1.32,1.22,1.26,2572220,62425500,0,4593283.33,4629644.29,5141520,5105689,1.29,1.16,1.09,0.94,2515.35,2326.438571,2283.134,1.07693235,2439.070068,2426.828613,2423.52605,0,1,1.587301587
20170603,1.36,1.36,1.15,1.26,4049740,68122000,-6.666666667,6423183.33,4995588.57,6130098,5021939,1.28,1.11,1.07,0.9,2488.55,2258.37,2275.963,3.350250012,2439.070068,2423.507185,2421.12605,0,0,0
20170602,1.25,1.4,1.18,1.35,7157890,62290500,8.870967742,6073610,5420757.14,8015164,4844536,1.21,1.07,1.12,0.86,2407.88,2217.494286,2259.15,5.312695448,2439.070068,2420.185756,2417.658032,0.370773099,0,-6.666666667
20170601,1.03,1.3,1.01,1.24,8061920,51383000,20.38834951,5485553.33,5376478.57,7685251,4517487,1.1,1,1.07,0.82,2286.41,2202.794286,2235.702,5.099587675,2430.060059,2416.864327,2413.593018,0.757111271,1,8.870967742
20170531,1.02,1.08,0.966531,1.03,3001020,51167000,0.980392157,3521913.33,6004490,7112189,4141793,1.01,0.98,1.02,0.78,2175.47,2225.255714,2211.181,-3.552919166,2411.800049,2414.7229,2409.989014,-0.045996869,1,20.38834951
20170530,0.975403,1.13,0.970573,1.02,5393720,48770200,5.506508821,4232850,8847258.57,7074280,4039399,0.97,1.09,0.99,0.75,2255.61,2245.962857,2202.107,4.629835792,2412.909912,2413.664306,2406.982007,-0.120462448,1,0.980392157
20170529,0.921727,0.974728,0.873447,0.966765,2171000,46086400,3.941378725,4776916.67,8627978.57,6682525,3811875,0.96,1.06,0.95,0.73,2155.8,2234.218571,2175.317,5.735039507,2415.820068,2411.594308,2403.864014,0,1,5.506508821
