date,open,high,low,close,volume,market_cap,3_day_vol_avg,7_day_vol_avg,14_day_vol_avg,20_day_vol_avg,3_day_close_avg,7_day_close_avg,14_day_close_avg,20_day_close_avg,high_minus_low,open_to_close,sp500_close,sp500_volume,sp500_increased_since_yesterday,sp500_close_increases_tomorrow,increase_flag,percent_change
17072,13.11,13.48,13.08,13.27,10239000,1106330000,8094380,10848670,14640292.14,12598098.5,13.06333333,13.10714286,13.055,12.698,0.4,-0.16,2151.129883,4249220000,0,1,0,-1.51
17071,12.86,13.21,12.86,13.1,6831070,1085330000,6442526.667,13478098.57,14315707.86,12662898.5,13.00666667,13.17857143,12.95857143,12.602,0.35,-0.24,2171.370117,3891460000,1,0,1,1.30
17070,13.17,13.17,12.74,12.82,7213070,1110700000,7440463.333,17063531.43,14663795.71,12627097.5,12.93333333,13.36857143,12.87428571,12.5245,0.43,0.35,2159.929932,3437770000,1,1,1,2.18
17069,12.85,13.11,12.8,13.1,5283440,1083510000,8091583.333,18010064.29,14682725,12583760.5,13.10333333,13.42142857,12.80785714,12.468,0.31,-0.25,2146.100098,3216170000,0,1,0,-2.14
17068,13.32,13.34,12.68,12.88,9824880,1122670000,15458036.67,20460044.29,14933277.86,12605793.5,13.15333333,13.32571429,12.70357143,12.399,0.66,0.44,2164.689941,3317190000,1,0,1,1.71
17067,13.21,13.45,13.1,13.33,9166430,1112590000,21731410,20120291.43,14747236.43,12475577,13.45,13.3,12.65285714,12.339,0.35,-0.12,2164.689941,3317190000,1,1,0,-3.38
17066,13.66,13.66,12.48,13.25,27382800,1150650000,29318966.67,21299587.14,14528862.86,12685195.5,13.81666667,13.19,12.53285714,12.2605,1.18,0.41,2164.689941,3317190000,0,1,1,0.60
17065,14.43,14.43,13.17,13.77,28645000,1214950000,24804300,18431914.29,13396877.14,11784470.5,13.79666667,13.00285714,12.39714286,12.2035,1.26,0.66,2177.179932,3552830000,1,0,0,-3.78
17064,13.21,14.43,13.12,14.43,31929100,1111810000,22733733.33,15153317.14,11787595,11554795.5,13.35,12.73857143,12.23857143,12.1145,1.31,-1.22,2163.120117,3712090000,1,1,0,-4.57
17063,12.44,13.19,12.42,13.19,13838800,1045870000,14572903.33,12264060,9960254.286,10512025.5,12.77333333,12.38,12.04285714,11.9765,0.77,-0.75,2139.76001,3140730000,1,1,1,9.40
17062,12.69,12.99,12.16,12.43,22433300,1066620000,15767136.67,11355385.71,9380632.857,10181148.5,12.56333333,12.19428571,11.93785714,11.8785,0.83,0.26,2139.120117,3163000000,0,1,1,6.11
