date,open,high,low,close,volume,market_cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change,tomorrow_price
20151206,0.005302,0.005368,0.005153,0.005344,1002000,177809000,0.811167704,882781,528706.5714,429403.8,336922.2,0.005133,0.004589286,0.0044938,0.0043773,388.95,369.0671429,365.157,7.095655047,2091.689941,2083.891392,2085.757007,0,1,4.041916168,0.005301
20151205,0.004756,0.005301,0.004756,0.005301,716241,159499000,11.50610013,595149,413824,369255.8,304408.45,0.004772333,0.00444,0.0043885,0.0043218,363.18,364.5571429,359.083,0.589945991,2091.689941,2083.665702,2085.475024,0,1,0.811167704,0.004754
20151204,0.004262,0.004782,0.004239,0.004754,930102,142951000,11.54387611,465869.6667,339429.5714,317367.3,282291,0.004396333,0.004288143,0.0042902,0.004265,361.05,363.8228571,354.77,0.517831788,2091.689941,2083.440011,2085.193042,2.052566895,1,11.50610013,0.004262
20151203,0.004176,0.004304,0.004173,0.004262,139104,140043000,2.132758208,259969.3333,235099.2857,244151.1,243003.7,0.004175,0.004219857,0.004239,0.0042437,359.19,362.6271429,350.97,-0.910369941,2049.620117,2083.21432,2084.938037,-1.437352687,1,11.54387611,0.004173
20151202,0.004091,0.004189,0.004041,0.004173,328403,137194000,2.029339853,304499.6667,272444.4286,261685.8,252540.4,0.004154667,0.004224,0.0042416,0.00425445,362.49,358.2014286,347.505,-3.930350896,2079.51001,2088.821463,2088.635034,-1.099569315,1,2.132758208,0.00409
20151201,0.004202,0.004208,0.004054,0.00409,312401,140912000,-2.642228041,260972.6667,253723.4286,246301.1,261310.85,0.004196667,0.004244714,0.004251,0.00427285,377.32,352.1385714,343.949,1.624067441,2102.629883,2090.158621,2089.601025,1.068057351,1,2.029339853,0.004201
20151130,0.004298,0.004322,0.004185,0.004201,272695,144155000,-2.279599907,221999,237371.8571,233323.8,267999.65,0.004246,0.004266429,0.0042665,0.00428155,371.29,344.3857143,338.419,3.892215569,2080.409912,2088.23148,2088.255029,-0.464099713,0,-2.642228041,0.004299
20151129,0.004243,0.004299,0.004234,0.004299,197822,142311000,1.439358188,197697.3333,243337,237331.1,275096.45,0.004271,0.004278857,0.0042691,0.0042918,357.38,337.7071429,333.905,-0.184336946,2090.110107,2089.114362,2089.13103,0,0,-2.279599907,0.004238
20151128,0.004275,0.004275,0.004208,0.004238,195480,141727000,-0.88868101,265263.3333,240013.2857,234920.1,280472.2,0.004268333,0.004274286,0.0042614,0.0043073,358.04,333.3571429,331.626,1.519791312,2090.110107,2088.98005,2088.244019,0,1,1.439358188,0.004276
20151127,0.004276,0.004304,0.004229,0.004276,199790,141773000,-0.349568865,265888.6667,238177.2857,240051.5,286341.15,0.004295,0.004275286,0.0042634,0.00432775,352.68,328.2114286,329.331,7.455592456,2090.110107,2088.845738,2087.591016,0.059361757,0,-0.88868101,0.004291
20151126,0.004317,0.004435,0.004227,0.004291,400520,143140000,-0.625289486,265272,254317,244440.6,294708.85,0.004283667,0.004268286,0.0042608,0.00434865,328.21,324.4214286,327.138,2.549601625,2088.870117,2088.711426,2083.623999,0,0,-0.349568865,0.004318
20151125,0.004242,0.004325,0.004228,0.004318,197356,140650000,1.791607732,236582.3333,221915.8571,239561.1,314008.5,0.004282667,0.004258429,0.0042551,0.0043622,320.05,325.3328571,326.334,-0.928648816,2088.870117,2087.621408,2080.055981,-0.012913257,0,-0.625289486,0.004242
20151124,0.004288,0.004288,0.004201,0.004242,197940,142189000,-1.072761194,228982.3333,228978.4286,247214.7,363191.2,0.004265667,0.004249857,0.0042398,0.0043716,323.05,327.4814286,327.62,-0.459111358,2089.139893,2086.865688,2073.472974,0.122199612,1,1.791607732,0.004288
20151123,0.004269,0.004351,0.004237,0.004288,314451,141539000,0.492149051,223878.3333,235512.8571,241856.3,421011.2,0.004266667,0.004251,0.0042484,0.00440685,324.54,328.5814286,328.99,-0.731043343,2086.590088,2081.337123,2066.862988,-0.123486078,0,-1.072761194,0.004267
20151122,0.004249,0.004274,0.004238,0.004267,174556,140870000,0.518256773,223317.3333,240837.7143,243395,456810.15,0.004246333,0.004243286,0.0042673,0.0044616,326.93,327.9571429,330.351,1.524750016,2089.169922,2076.565674,2060.507983,0,1,0.492149051,0.004245
20151121,0.004227,0.004268,0.004214,0.004245,182628,140147000,0.425833925,223036,255028.5714,276320.6,476731.05,0.004231333,0.004228714,0.0042947,0.00450605,322.02,328.8114286,328.766,-1.266288518,2089.169922,2067.118548,2056.187988,0,1,0.518256773,0.004227
20151120,0.004222,0.004237,0.004167,0.004227,312768,139989000,0.118427286,244424.6667,249561.1429,302675.5,492104.9,0.004235667,0.004240571,0.0042966,0.00453885,326.15,330.9157143,330.246,-2.522490212,2089.169922,2057.671421,2054.770996,0.381019586,1,0.425833925,0.004222
20151119,0.004259,0.004263,0.004205,0.004222,173712,141209000,-0.845467356,221395.6667,251999.7143,312861.8,492432.1,0.004243333,0.004276286,0.0043145,0.00456185,334.59,332.63,335.657,-0.149213644,2081.23999,2048.224295,2054.026001,-0.112310922,1,0.118427286,0.004258
20151118,0.004251,0.004288,0.004243,0.004258,246794,140933000,0.188235294,280733.3333,299156.8571,326024.3,533605.1,0.004247333,0.004321857,0.0043532,0.0045927,335.09,329.2714286,339.535,1.312169312,2083.580078,2043.185721,2053.76001,1.616245194,0,-0.845467356,0.00425
20151117,0.004234,0.004293,0.004228,0.00425,243681,140393000,0.377893245,289766,327640.1429,332630.8,548778.05,0.004216333,0.004322714,0.0043921,0.0046115,330.75,329.5185714,344.674,3.304494487,2050.439941,2041.959996,2055.321997,-0.133937925,1,0.188235294,0.004234
20151116,0.004163,0.004237,0.00413,0.004234,351725,138017000,1.656662665,256657.6667,352061.5714,344977.1,554112.45,0.004242333,0.004345,0.0044365,0.00463275,320.17,336.5914286,349.046,-3.826860112,2053.189941,2046.428571,2060.197998,1.49032651,1,0.377893245,0.004165
20151115,0.004327,0.004327,0.004144,0.004165,273892,143472000,-3.766173752,249362,345434.7143,388455.9,554406.3,0.004323333,0.004398571,0.0044693,0.0046535,332.91,344.1914286,355.664,-1.140311804,2023.040039,2050.055734,2064.798999,0,1,1.656662665,0.004328
20151114,0.004482,0.004493,0.004316,0.004328,144356,148614000,-3.32812151,326002,351001.4286,479167.7,562062.25,0.004448667,0.004467429,0.0045034,0.004679,336.75,351.8442857,363.529,-0.414017448,2023.040039,2060.935721,2072.487988,0,0,-3.766173752,0.004477
20151113,0.004536,0.004549,0.004436,0.004477,329838,150385000,-1.409381194,426609,382828.2857,600166.1,569199.6,0.004427333,0.004519714,0.0045653,0.0046904,338.15,357.2328571,370.196,8.701941623,2023.040039,2071.815709,2080.41499,-1.120736488,0,-3.32812151,0.004541
20151112,0.004266,0.00458,0.004266,0.004541,503812,141432000,6.496247655,454873.3333,448067.5714,670225.3,562202.7,0.004403667,0.004531857,0.0046559,0.00469965,311.08,364.1185714,372.5,-7.64206401,2045.969971,2082.695696,2089.08999,-1.399037542,0,-1.409381194,0.004264
20151111,0.004408,0.00444,0.004173,0.004264,446177,146142000,-3.222877894,388715,544810.1429,677141.5,551822.95,0.004426333,0.004526857,0.0047174,0.00470645,336.82,378.4728571,373.935,-11.42376269,2075,2090.404262,2094.897998,-0.322808595,1,6.496247655,0.004406
20151110,0.004606,0.004612,0.004364,0.004406,414631,152721000,-4.404426123,344275.6667,674547.7143,681534.3,544772.6,0.004554,0.004624429,0.0047811,0.0047294,380.26,387.9871429,371.67,1.845354474,2081.719971,2094.305699,2095.334009,0.151059516,0,-3.222877894,0.004609
20151109,0.00465,0.004723,0.00459,0.004609,305337,154166000,-0.81773187,328446.6667,762519,672002.4,536216.2,0.00465,0.004764,0.0048092,0.00474395,373.37,385.2628571,366.445,-3.392154833,2078.580078,2098.315709,2095.098022,-0.982272936,0,-4.404426123,0.004647
20151108,0.004684,0.004698,0.004596,0.004647,312859,155297000,-1.001278228,488838.6667,800752.8571,741185.9,541996.8,0.004634333,0.004842143,0.0048322,0.00475005,386.48,378.4142857,360.494,3.207199509,2099.199951,2101.954276,2095.176025,0,0,-0.81773187,0.004694
20151107,0.004566,0.004701,0.004558,0.004694,367144,151395000,2.893467777,778222.3333,826073.7143,764925.3,541355.05,0.004587333,0.004878429,0.0048309,0.00476985,374.47,368.0842857,352.308,-3.074932056,2099.199951,2099.120013,2094.197021,0,0,-1.001278228,0.004562
20151106,0.0045,0.004646,0.004375,0.004562,786513,149217000,1.242787395,1107287.667,819240.5714,763247.8,535114.85,0.004671667,0.004877429,0.004829,0.0047841,386.35,361.4471429,344.24,-6.125473807,2099.199951,2096.285749,2093.312036,-0.03476216,1,2.893467777,0.004506
20151105,0.004955,0.005041,0.00447,0.004506,1181010,164276000,-8.914493633,1188593.333,849334.7143,720356.7,515538.2,0.004945333,0.004917,0.0048377,0.00481615,411.56,351.0914286,334.135,2.017748252,2099.929932,2093.451486,2089.98103,-0.113214841,1,1.242787395,0.004947
20151104,0.005402,0.00586,0.004837,0.004947,1354340,179109000,-8.099572729,985914.6667,759226.5714,644956.8,473617.6,0.005162,0.004935286,0.0048546,0.00486075,403.42,335.8142857,321.347,11.69190731,2102.310059,2091.948626,2087.10603,-0.354536701,0,-8.914493633,0.005383
20151103,0.00516,0.005546,0.005128,0.005383,1030430,171089000,4.402637704,697836.3333,615802.1429,538233.1,427947.05,0.005146667,0.004896429,0.0048155,0.00488335,361.19,320.1528571,309.17,10.98853824,2109.790039,2090.24006,2084.390015,0.272806724,0,-8.099572729,0.005156
20151102,0.004896,0.005182,0.004892,0.005156,572974,162329000,5.203019792,460797,519683.8571,454180.1,393345.9,0.004914667,0.004791571,0.0047434,0.0048851,325.43,309.3114286,300.701,3.584046854,2104.050049,2083.96861,2080.926001,1.187381729,1,4.402637704,0.004901
20151101,0.004685,0.004918,0.004663,0.004901,490105,155335000,4.565820354,602196.3333,498832,426504.4,382480.15,0.004809,0.004722857,0.0046955,0.00489615,314.17,303.3471429,295.56,-4.219383555,2079.360107,2079.272879,2078.035986,0,1,5.203019792,0.004687
20151031,0.00484,0.004887,0.004633,0.004687,319312,160485000,-3.141144865,622245.6667,469831.7143,408010.9,364141.2,0.00472,0.004673571,0.0046777,0.0049141,328.01,298.7014286,290.77,4.508379532,2079.360107,2078.671422,2075.350977,0,1,4.565820354,0.004839
20151030,0.004635,0.004882,0.004622,0.004839,997172,153682000,4.42382391,632598,451344.2857,400430,354903.35,0.004716,0.00467,0.0046787,0.00493885,313.86,291.3428571,284.915,3.033287374,2079.360107,2078.069964,2069.30896,-0.480987715,0,-3.141144865,0.004634
20151029,0.00467,0.004727,0.004634,0.004634,550253,154854000,-0.877005348,419408,351207.8571,342807.7,313199.15,0.004652667,0.004646857,0.0046679,0.00494875,304.62,285.6514286,279.873,3.686306545,2089.409912,2077.468506,2064.449951,-0.044977442,1,4.42382391,0.004675
20151028,0.004648,0.004688,0.004621,0.004675,350369,154122000,0.559260056,378327.3333,316196,317784.8,328252.8,0.004666333,0.004659571,0.0047088,0.0049662,293.79,280.1728571,275.575,2.975814932,2090.350098,2072.197091,2058.874963,1.184003324,0,-0.877005348,0.004649
20151027,0.004674,0.004716,0.004628,0.004649,357602,154966000,-0.556149733,357238.6667,300929.4286,306981.9,343999.85,0.004626667,0.004662714,0.0047392,0.004984,285.3,276.6971429,273.26,0.57106599,2065.889893,2061.99564,2053.150952,-0.255411851,1,0.559260056,0.004675
20151026,0.00456,0.004675,0.004554,0.004675,427011,151203000,2.611940299,301338,309979,310719.7,344773.75,0.004631,0.004674429,0.0047946,0.0050203,283.68,273.5742857,271.017,0.720752707,2071.179932,2056.978516,2049.872961,-0.191310035,0,-0.556149733,0.004556
20151025,0.004662,0.004737,0.004555,0.004556,287103,154561000,-2.273702274,257740,291838,302278.4,340880.9,0.004631667,0.004727,0.0048669,0.00505295,281.65,270.4257143,268.081,1.862567812,2075.149902,2051.61853,2046.065967,0,1,2.611940299,0.004662
20151024,0.004676,0.004687,0.004631,0.004662,189900,155028000,-0.320718409,263762.3333,285443.2857,317661,357709.1,0.004687333,0.004787429,0.0049512,0.00507555,276.5,268.8528571,265.115,0.905043427,2075.149902,2045.612828,2040.936975,0,0,-2.273702274,0.004677
20151023,0.004726,0.004773,0.004671,0.004677,296217,156682000,-0.973957231,281630,314740.4286,332511.7,366002.2,0.004699,0.004864714,0.0050268,0.00510425,274.02,266.9057143,262.416,2.910579487,2075.149902,2039.607125,2032.845984,1.103034426,0,-0.320718409,0.004723
20151022,0.004696,0.004726,0.004671,0.004723,305170,155708000,0.553544816,323207.3333,321366.2857,338455.9,370977.1,0.004717,0.004967714,0.0050968,0.00514625,266.27,264.0914286,259.545,-1.18384918,2052.51001,2033.601423,2025.699988,1.662757188,0,-0.973957231,0.004697
20151021,0.004739,0.004745,0.004636,0.004697,243503,157120000,-0.71866413,321492,340760.4286,320271.5,385104.7,0.004823667,0.005064286,0.0051505,0.0052035,269.46,262.0514286,257.623,2.285150319,2018.939941,2029.508562,2022.194983,-0.582541543,1,0.553544816,0.004731
20151020,0.005042,0.005048,0.00473,0.004731,420949,167182000,-6.186793575,321104.3333,354318.1429,309376.7,400809.4,0.004917667,0.005167286,0.005199,0.00524105,263.44,259.2014286,255.171,0.687968201,2030.77002,2025.979998,2021.78999,-0.142109003,0,-0.71866413,0.005043
20151019,0.004976,0.005083,0.004976,0.005043,300024,164976000,1.285398674,312448,344991,283590.6,415751.6,0.005075,0.005259571,0.0052296,0.0052805,261.64,256.6114286,253.22,-3.325450783,2033.660034,2022.111415,2020.20199,0.027054562,0,-6.186793575,0.004979
20151018,0.005199,0.0052,0.004967,0.004979,242340,172364000,-4.305208534,326639.3333,319748.4286,338720.8,449000.15,0.005193333,0.005290571,0.0052236,0.0053073,270.64,254.5271429,251.286,2.955833682,2033.109985,2019.797119,2018.324988,0,1,1.285398674,0.005203
20151017,0.0054,0.005429,0.005174,0.005203,394980,179047000,-3.612449055,392835.6667,304350.5714,381017.8,467025.95,0.005333333,0.005319571,0.0052288,0.005373,262.87,250.8557143,248.519,3.36190626,2033.109985,2017.194266,2016.356995,0,0,-4.305208534,0.005398
20151016,0.005392,0.005441,0.005376,0.005398,342598,178793000,-0.018521949,373978,271223.1429,378827.8,460734.1,0.005405,0.005295857,0.005246,0.00543965,254.32,248.15,246.838,0.924639867,2033.109985,2014.591413,2012.628992,0.457047428,0,-3.612449055,0.005399
